Id,Date,StepTotal,TotalIntensity,AverageIntensity,Calories
1503960366,2016-04-12 00:00:00,373,20,0.333333,81
1503960366,2016-04-12 01:00:00,160,8,0.133333,61
1503960366,2016-04-12 02:00:00,151,7,0.116667,59
1503960366,2016-04-12 03:00:00,0,0,0.0,47
1503960366,2016-04-12 04:00:00,0,0,0.0,48
1503960366,2016-04-12 05:00:00,0,0,0.0,48
1503960366,2016-04-12 06:00:00,0,0,0.0,48
1503960366,2016-04-12 07:00:00,0,0,0.0,47
1503960366,2016-04-12 08:00:00,250,13,0.216667,68
1503960366,2016-04-12 09:00:00,1864,30,0.5,141
1503960366,2016-04-12 10:00:00,676,29,0.483333,99
1503960366,2016-04-12 11:00:00,360,12,0.2,76
1503960366,2016-04-12 12:00:00,253,11,0.183333,73
1503960366,2016-04-12 13:00:00,221,6,0.1,66
1503960366,2016-04-12 14:00:00,1166,36,0.6,110
1503960366,2016-04-12 15:00:00,2063,58,0.966667,151
1503960366,2016-04-12 16:00:00,344,13,0.216667,76
1503960366,2016-04-12 17:00:00,489,16,0.266667,83
1503960366,2016-04-12 18:00:00,1386,29,0.483333,124
1503960366,2016-04-12 19:00:00,558,39,0.65,104
1503960366,2016-04-12 20:00:00,1733,41,0.683333,132
1503960366,2016-04-12 21:00:00,684,31,0.516667,100
1503960366,2016-04-12 22:00:00,89,9,0.15,65
1503960366,2016-04-12 23:00:00,338,21,0.35,81
1503960366,2016-04-13 00:00:00,144,14,0.233333,69
1503960366,2016-04-13 01:00:00,0,0,0.0,48
1503960366,2016-04-13 02:00:00,0,0,0.0,47
1503960366,2016-04-13 03:00:00,36,4,0.066667,53
1503960366,2016-04-13 04:00:00,0,0,0.0,47
1503960366,2016-04-13 05:00:00,0,0,0.0,47
1503960366,2016-04-13 06:00:00,0,0,0.0,48
1503960366,2016-04-13 07:00:00,126,8,0.133333,59
1503960366,2016-04-13 08:00:00,275,12,0.2,69
1503960366,2016-04-13 09:00:00,1679,27,0.45,136
1503960366,2016-04-13 10:00:00,295,15,0.25,77
1503960366,2016-04-13 11:00:00,524,16,0.266667,84
1503960366,2016-04-13 12:00:00,486,15,0.25,82
1503960366,2016-04-13 13:00:00,302,10,0.166667,72
1503960366,2016-04-13 14:00:00,1577,46,0.766667,128
1503960366,2016-04-13 15:00:00,493,13,0.216667,79
1503960366,2016-04-13 16:00:00,299,10,0.166667,71
1503960366,2016-04-13 17:00:00,695,23,0.383333,87
1503960366,2016-04-13 18:00:00,1343,25,0.416667,118
1503960366,2016-04-13 19:00:00,258,13,0.216667,73
1503960366,2016-04-13 20:00:00,0,0,0.0,47
1503960366,2016-04-13 21:00:00,0,0,0.0,48
1503960366,2016-04-13 22:00:00,437,11,0.183333,74
1503960366,2016-04-13 23:00:00,1766,56,0.933333,135
1503960366,2016-04-14 00:00:00,81,4,0.066667,56
1503960366,2016-04-14 01:00:00,58,3,0.05,54
1503960366,2016-04-14 02:00:00,0,0,0.0,47
1503960366,2016-04-14 03:00:00,0,0,0.0,47
1503960366,2016-04-14 04:00:00,0,0,0.0,47
1503960366,2016-04-14 05:00:00,0,0,0.0,47
1503960366,2016-04-14 06:00:00,0,0,0.0,47
1503960366,2016-04-14 07:00:00,0,0,0.0,47
1503960366,2016-04-14 08:00:00,0,0,0.0,47
1503960366,2016-04-14 09:00:00,902,14,0.233333,93
1503960366,2016-04-14 10:00:00,1106,23,0.383333,109
1503960366,2016-04-14 11:00:00,50,7,0.116667,64
1503960366,2016-04-14 12:00:00,501,18,0.3,85
1503960366,2016-04-14 13:00:00,1779,54,0.9,137
1503960366,2016-04-14 14:00:00,1228,22,0.366667,113
1503960366,2016-04-14 15:00:00,139,7,0.116667,66
1503960366,2016-04-14 16:00:00,408,25,0.416667,88
1503960366,2016-04-14 17:00:00,37,5,0.083333,61
1503960366,2016-04-14 18:00:00,322,12,0.2,72
1503960366,2016-04-14 19:00:00,11,1,0.016667,55
1503960366,2016-04-14 20:00:00,806,24,0.4,91
1503960366,2016-04-14 21:00:00,2670,57,0.95,174
1503960366,2016-04-14 22:00:00,362,17,0.283333,79
1503960366,2016-04-14 23:00:00,0,0,0.0,50
1503960366,2016-04-15 00:00:00,83,6,0.1,60
1503960366,2016-04-15 01:00:00,75,5,0.083333,58
1503960366,2016-04-15 02:00:00,124,7,0.116667,59
1503960366,2016-04-15 03:00:00,0,0,0.0,47
1503960366,2016-04-15 04:00:00,0,0,0.0,47
1503960366,2016-04-15 05:00:00,26,1,0.016667,49
1503960366,2016-04-15 06:00:00,0,0,0.0,47
1503960366,2016-04-15 07:00:00,7,1,0.016667,49
1503960366,2016-04-15 08:00:00,55,5,0.083333,54
1503960366,2016-04-15 09:00:00,21,2,0.033333,50
1503960366,2016-04-15 10:00:00,154,8,0.133333,63
1503960366,2016-04-15 11:00:00,425,23,0.383333,84
1503960366,2016-04-15 12:00:00,270,13,0.216667,74
1503960366,2016-04-15 13:00:00,373,9,0.15,67
1503960366,2016-04-15 14:00:00,0,0,0.0,47
1503960366,2016-04-15 15:00:00,0,0,0.0,47
1503960366,2016-04-15 16:00:00,0,0,0.0,47
1503960366,2016-04-15 17:00:00,1774,47,0.783333,140
1503960366,2016-04-15 18:00:00,509,22,0.366667,87
1503960366,2016-04-15 19:00:00,519,32,0.533333,97
1503960366,2016-04-15 20:00:00,77,8,0.133333,64
1503960366,2016-04-15 21:00:00,280,14,0.233333,75
1503960366,2016-04-15 22:00:00,2145,66,1.1,151
1503960366,2016-04-15 23:00:00,2768,95,1.583333,182
1503960366,2016-04-16 00:00:00,459,15,0.25,77
1503960366,2016-04-16 01:00:00,0,0,0.0,48
1503960366,2016-04-16 02:00:00,63,3,0.05,52
1503960366,2016-04-16 03:00:00,6,1,0.016667,48
1503960366,2016-04-16 04:00:00,6,1,0.016667,49
1503960366,2016-04-16 05:00:00,12,1,0.016667,49
1503960366,2016-04-16 06:00:00,0,0,0.0,48
1503960366,2016-04-16 07:00:00,101,4,0.066667,54
1503960366,2016-04-16 08:00:00,175,9,0.15,62
1503960366,2016-04-16 09:00:00,1181,38,0.633333,124
1503960366,2016-04-16 10:00:00,1295,14,0.233333,110
1503960366,2016-04-16 11:00:00,2043,30,0.5,147
1503960366,2016-04-16 12:00:00,1513,42,0.7,119
1503960366,2016-04-16 13:00:00,3616,90,1.5,214
1503960366,2016-04-16 14:00:00,580,20,0.333333,82
1503960366,2016-04-16 15:00:00,0,0,0.0,51
1503960366,2016-04-16 16:00:00,15,2,0.033333,54
1503960366,2016-04-16 17:00:00,380,17,0.283333,79
1503960366,2016-04-16 18:00:00,96,10,0.166667,65
1503960366,2016-04-16 19:00:00,146,12,0.2,67
1503960366,2016-04-16 20:00:00,385,19,0.316667,81
1503960366,2016-04-16 21:00:00,463,13,0.216667,75
1503960366,2016-04-16 22:00:00,42,3,0.05,55
1503960366,2016-04-16 23:00:00,92,5,0.083333,56
1503960366,2016-04-17 00:00:00,0,0,0.0,47
1503960366,2016-04-17 01:00:00,0,0,0.0,48
1503960366,2016-04-17 02:00:00,0,0,0.0,47
1503960366,2016-04-17 03:00:00,8,1,0.016667,49
1503960366,2016-04-17 04:00:00,0,0,0.0,48
1503960366,2016-04-17 05:00:00,0,0,0.0,48
1503960366,2016-04-17 06:00:00,0,0,0.0,48
1503960366,2016-04-17 07:00:00,0,0,0.0,48
1503960366,2016-04-17 08:00:00,0,0,0.0,48
1503960366,2016-04-17 09:00:00,0,0,0.0,48
1503960366,2016-04-17 10:00:00,0,0,0.0,47
1503960366,2016-04-17 11:00:00,84,9,0.15,63
1503960366,2016-04-17 12:00:00,260,18,0.3,76
1503960366,2016-04-17 13:00:00,402,23,0.383333,83
1503960366,2016-04-17 14:00:00,252,10,0.166667,69
1503960366,2016-04-17 15:00:00,191,13,0.216667,73
1503960366,2016-04-17 16:00:00,13,2,0.033333,57
1503960366,2016-04-17 17:00:00,2613,71,1.183333,174
1503960366,2016-04-17 18:00:00,1616,39,0.65,136
1503960366,2016-04-17 19:00:00,754,24,0.4,95
1503960366,2016-04-17 20:00:00,2955,87,1.45,191
1503960366,2016-04-17 21:00:00,487,16,0.266667,79
1503960366,2016-04-17 22:00:00,70,5,0.083333,58
1503960366,2016-04-17 23:00:00,0,0,0.0,50
1503960366,2016-04-18 00:00:00,416,21,0.35,82
1503960366,2016-04-18 01:00:00,0,0,0.0,48
1503960366,2016-04-18 02:00:00,0,0,0.0,47
1503960366,2016-04-18 03:00:00,0,0,0.0,47
1503960366,2016-04-18 04:00:00,0,0,0.0,47
1503960366,2016-04-18 05:00:00,0,0,0.0,47
1503960366,2016-04-18 06:00:00,0,0,0.0,47
1503960366,2016-04-18 07:00:00,0,0,0.0,47
1503960366,2016-04-18 08:00:00,0,0,0.0,47
1503960366,2016-04-18 09:00:00,1688,39,0.65,133
1503960366,2016-04-18 10:00:00,380,17,0.283333,81
1503960366,2016-04-18 11:00:00,328,15,0.25,73
1503960366,2016-04-18 12:00:00,1306,40,0.666667,118
1503960366,2016-04-18 13:00:00,268,9,0.15,70
1503960366,2016-04-18 14:00:00,137,7,0.116667,64
1503960366,2016-04-18 15:00:00,495,14,0.233333,80
1503960366,2016-04-18 16:00:00,277,17,0.283333,78
1503960366,2016-04-18 17:00:00,304,18,0.3,79
1503960366,2016-04-18 18:00:00,4074,114,1.9,234
1503960366,2016-04-18 19:00:00,2101,30,0.5,157
1503960366,2016-04-18 20:00:00,28,2,0.033333,57
1503960366,2016-04-18 21:00:00,187,11,0.183333,68
1503960366,2016-04-18 22:00:00,542,19,0.316667,86
1503960366,2016-04-18 23:00:00,488,18,0.3,83
1503960366,2016-04-19 00:00:00,0,0,0.0,47
1503960366,2016-04-19 01:00:00,22,1,0.016667,49
1503960366,2016-04-19 02:00:00,0,0,0.0,47
1503960366,2016-04-19 03:00:00,9,2,0.033333,50
1503960366,2016-04-19 04:00:00,0,0,0.0,47
1503960366,2016-04-19 05:00:00,0,0,0.0,47
1503960366,2016-04-19 06:00:00,7,1,0.016667,49
1503960366,2016-04-19 07:00:00,316,19,0.316667,75
1503960366,2016-04-19 08:00:00,1656,38,0.633333,130
1503960366,2016-04-19 09:00:00,367,16,0.266667,79
1503960366,2016-04-19 10:00:00,203,16,0.266667,75
1503960366,2016-04-19 11:00:00,194,13,0.216667,72
1503960366,2016-04-19 12:00:00,1887,61,1.016667,143
1503960366,2016-04-19 13:00:00,2697,65,1.083333,171
1503960366,2016-04-19 14:00:00,409,12,0.2,76
1503960366,2016-04-19 15:00:00,299,12,0.2,72
1503960366,2016-04-19 16:00:00,297,9,0.15,71
1503960366,2016-04-19 17:00:00,732,13,0.216667,90
1503960366,2016-04-19 18:00:00,1280,30,0.5,120
1503960366,2016-04-19 19:00:00,397,31,0.516667,93
1503960366,2016-04-19 20:00:00,2487,69,1.15,159
1503960366,2016-04-19 21:00:00,826,16,0.266667,94
1503960366,2016-04-19 22:00:00,52,4,0.066667,58
1503960366,2016-04-19 23:00:00,1369,48,0.8,120
1503960366,2016-04-20 00:00:00,16,2,0.033333,54
1503960366,2016-04-20 01:00:00,36,2,0.033333,53
1503960366,2016-04-20 02:00:00,0,0,0.0,47
1503960366,2016-04-20 03:00:00,0,0,0.0,48
1503960366,2016-04-20 04:00:00,0,0,0.0,48
1503960366,2016-04-20 05:00:00,0,0,0.0,47
1503960366,2016-04-20 06:00:00,0,0,0.0,48
