Id,date,value,logId
1503960366,4/12/2016 2:47:30 AM,3,11380564589
1503960366,4/12/2016 2:48:30 AM,2,11380564589
1503960366,4/12/2016 2:49:30 AM,1,11380564589
1503960366,4/12/2016 2:50:30 AM,1,11380564589
1503960366,4/12/2016 2:51:30 AM,1,11380564589
1503960366,4/12/2016 2:52:30 AM,1,11380564589
1503960366,4/12/2016 2:53:30 AM,1,11380564589
1503960366,4/12/2016 2:54:30 AM,2,11380564589
1503960366,4/12/2016 2:55:30 AM,2,11380564589
1503960366,4/12/2016 2:56:30 AM,2,11380564589
1503960366,4/12/2016 2:57:30 AM,3,11380564589
1503960366,4/12/2016 2:58:30 AM,3,11380564589
1503960366,4/12/2016 2:59:30 AM,3,11380564589
1503960366,4/12/2016 3:00:30 AM,3,11380564589
1503960366,4/12/2016 3:01:30 AM,3,11380564589
1503960366,4/12/2016 3:02:30 AM,2,11380564589
1503960366,4/12/2016 3:03:30 AM,1,11380564589
1503960366,4/12/2016 3:04:30 AM,1,11380564589
1503960366,4/12/2016 3:05:30 AM,1,11380564589
1503960366,4/12/2016 3:06:30 AM,1,11380564589
1503960366,4/12/2016 3:07:30 AM,1,11380564589
1503960366,4/12/2016 3:08:30 AM,1,11380564589
1503960366,4/12/2016 3:09:30 AM,1,11380564589
1503960366,4/12/2016 3:10:30 AM,1,11380564589
1503960366,4/12/2016 3:11:30 AM,1,11380564589
1503960366,4/12/2016 3:12:30 AM,1,11380564589
1503960366,4/12/2016 3:13:30 AM,1,11380564589
1503960366,4/12/2016 3:14:30 AM,1,11380564589
1503960366,4/12/2016 3:15:30 AM,1,11380564589
1503960366,4/12/2016 3:16:30 AM,1,11380564589
1503960366,4/12/2016 3:17:30 AM,1,11380564589
1503960366,4/12/2016 3:18:30 AM,1,11380564589
1503960366,4/12/2016 3:19:30 AM,1,11380564589
1503960366,4/12/2016 3:20:30 AM,1,11380564589
1503960366,4/12/2016 3:21:30 AM,1,11380564589
1503960366,4/12/2016 3:22:30 AM,1,11380564589
1503960366,4/12/2016 3:23:30 AM,1,11380564589
1503960366,4/12/2016 3:24:30 AM,1,11380564589
1503960366,4/12/2016 3:25:30 AM,1,11380564589
1503960366,4/12/2016 3:26:30 AM,1,11380564589
1503960366,4/12/2016 3:27:30 AM,1,11380564589
1503960366,4/12/2016 3:28:30 AM,1,11380564589
1503960366,4/12/2016 3:29:30 AM,1,11380564589
1503960366,4/12/2016 3:30:30 AM,1,11380564589
1503960366,4/12/2016 3:31:30 AM,1,11380564589
1503960366,4/12/2016 3:32:30 AM,1,11380564589
1503960366,4/12/2016 3:33:30 AM,1,11380564589
1503960366,4/12/2016 3:34:30 AM,1,11380564589
1503960366,4/12/2016 3:35:30 AM,1,11380564589
1503960366,4/12/2016 3:36:30 AM,1,11380564589
1503960366,4/12/2016 3:37:30 AM,1,11380564589
1503960366,4/12/2016 3:38:30 AM,1,11380564589
1503960366,4/12/2016 3:39:30 AM,1,11380564589
1503960366,4/12/2016 3:40:30 AM,1,11380564589
1503960366,4/12/2016 3:41:30 AM,1,11380564589
1503960366,4/12/2016 3:42:30 AM,1,11380564589
1503960366,4/12/2016 3:43:30 AM,1,11380564589
1503960366,4/12/2016 3:44:30 AM,1,11380564589
1503960366,4/12/2016 3:45:30 AM,1,11380564589
1503960366,4/12/2016 3:46:30 AM,1,11380564589
1503960366,4/12/2016 3:47:30 AM,1,11380564589
1503960366,4/12/2016 3:48:30 AM,1,11380564589
1503960366,4/12/2016 3:49:30 AM,1,11380564589
1503960366,4/12/2016 3:50:30 AM,1,11380564589
1503960366,4/12/2016 3:51:30 AM,1,11380564589
1503960366,4/12/2016 3:52:30 AM,1,11380564589
1503960366,4/12/2016 3:53:30 AM,1,11380564589
1503960366,4/12/2016 3:54:30 AM,1,11380564589
1503960366,4/12/2016 3:55:30 AM,1,11380564589
1503960366,4/12/2016 3:56:30 AM,1,11380564589
1503960366,4/12/2016 3:57:30 AM,1,11380564589
1503960366,4/12/2016 3:58:30 AM,1,11380564589
1503960366,4/12/2016 3:59:30 AM,1,11380564589
1503960366,4/12/2016 4:00:30 AM,1,11380564589
1503960366,4/12/2016 4:01:30 AM,1,11380564589
1503960366,4/12/2016 4:02:30 AM,1,11380564589
1503960366,4/12/2016 4:03:30 AM,1,11380564589
1503960366,4/12/2016 4:04:30 AM,1,11380564589
1503960366,4/12/2016 4:05:30 AM,1,11380564589
1503960366,4/12/2016 4:06:30 AM,1,11380564589
1503960366,4/12/2016 4:07:30 AM,1,11380564589
1503960366,4/12/2016 4:08:30 AM,1,11380564589
1503960366,4/12/2016 4:09:30 AM,1,11380564589
1503960366,4/12/2016 4:10:30 AM,1,11380564589
1503960366,4/12/2016 4:11:30 AM,1,11380564589
1503960366,4/12/2016 4:12:30 AM,1,11380564589
1503960366,4/12/2016 4:13:30 AM,1,11380564589
1503960366,4/12/2016 4:14:30 AM,1,11380564589
